lat,long
41.93974,-87.68155
41.84807,-87.67648
41.90307,-87.67324
41.91882,-87.65416
41.91855,-87.75299
41.77699,-87.59742
41.93129,-87.70828
41.93013,-87.70236
41.92162,-87.67955
41.9715,-87.69707
41.95457,-87.6556
41.91515,-87.64491
41.87279,-87.66205
41.97254,-87.69631
41.94197,-87.64853
41.91276,-87.6782
41.90274,-87.63303
42.00232,-87.66686
41.92079,-87.68019
41.96984,-87.6602
41.92839,-87.66205
41.93926,-87.67101
41.92455,-87.70258
41.93914,-87.64185
41.97009,-87.65906
41.91225,-87.67394
41.88662,-87.61538
41.9848,-87.66948
41.94059,-87.67952
41.90856,-87.63446
41.9401,-87.6804
41.94031,-87.68018
41.97581,-87.71247
41.78244,-87.61328
41.97002,-87.65677
41.97465,-87.66549
41.85568,-87.64582
41.81974,-87.61465
41.9387,-87.65404
41.91345,-87.6677
41.89351,-87.67486
41.9219,-87.71702
41.78632,-87.62237
41.91916,-87.7099
41.7857,-87.62109
41.89089,-87.66117
41.81833,-87.61304
41.76682,-87.6294
41.94156,-87.67332
41.83075,-87.61959
41.94408,-87.67646
41.89779,-87.67735
41.84443,-87.62406
41.97805,-87.66153
41.89143,-87.62645
41.94373,-87.67557
41.86154,-87.61317
41.97025,-87.75274
41.95526,-87.70311
41.90963,-87.67643
41.96839,-87.76679
41.95226,-87.65231
41.9219,-87.71012
41.89747,-87.66397
41.90667,-87.71429
41.9381,-87.68161
41.93763,-87.68367
41.92677,-87.65126
41.9399,-87.75563
41.92838,-87.64967
41.9279,-87.65064
41.96189,-87.67026
41.97134,-87.65083
41.90592,-87.62922
41.90281,-87.67216
41.85818,-87.6628
41.93313,-87.72845
41.76594,-87.56585
41.90628,-87.67657
41.85681,-87.67013
41.88341,-87.7098
41.93306,-87.72851
41.81922,-87.61498
41.9641,-87.73456
41.96382,-87.73494
41.90214,-87.66536
41.90872,-87.70736
41.91762,-87.69539
41.89165,-87.67658
41.93481,-87.72972
41.8565,-87.64978
41.89859,-87.69006
41.89491,-87.66811
41.87709,-87.6472
41.94939946,-87.6771
41.93985,-87.71659
41.96024,-87.71007
41.93874,-87.78765
41.93514,-87.64955
41.90846,-87.66865
41.97195,-87.66733
41.99635,-87.65681
41.89294,-87.65865
41.89648,-87.66722
41.9212,-87.6357
41.78962,-87.71776
41.94319,-87.79546
41.87378,-87.66026
41.90404,-87.6329
41.9402,-87.75601
41.92377,-87.69733
42.01122,-87.70357
41.9443,-87.6809
41.95724,-87.68769
41.93848,-87.651
41.91472,-87.69041
41.91081,-87.67032
41.90392,-87.68863
41.92116,-87.70952
41.83092,-87.60762
41.87293,-87.68713
42.01642,-87.70449
41.92461,-87.70928
41.88581,-87.61656
41.90617,-87.67666
41.79557,-87.73283
41.89184,-87.6688
41.84056,-87.64173
41.90925,-87.67239
41.98526,-87.71752
42.0022,-87.67305
41.89968,-87.6818
41.90831,-87.68065
41.94555,-87.64862
41.8408,-87.71498
41.91798,-87.681
41.97148,-87.66861
41.88581,-87.61641
41.9575,-87.66825
41.97632,-87.66694
41.9228,-87.71074
41.85636,-87.67891
41.89038,-87.68219
41.93007,-87.69892
41.95422,-87.73522
41.9311,-87.64777
41.90136,-87.67227
41.9045,-87.66256
41.99414,-87.65946
41.89698,-87.67588
41.98349,-87.80845
41.91221,-87.67619
41.84998,-87.67623
41.89406,-87.66589
41.97457,-87.67589
41.85398,-87.6702
41.95016,-87.68255
41.94025,-87.75691
41.85776,-87.65336
41.92654,-87.72505
41.94418,-87.66084
41.96533,-87.75448
41.96364,-87.75255
41.90095,-87.63235
41.95936,-87.69084
41.88065,-87.65365
41.92757,-87.66397
41.92759,-87.70076
41.85354,-87.694
41.91536,-87.69161
41.95129,-87.6713
41.93972,-87.65309
